tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-580,Australian Open,Hard,128,G,20200120,213,106233,5,,Dominic Thiem,R,185,AUT,26.379192334,104792,10,,Gael Monfils,R,193,FRA,33.3853524983,6-2 6-4 6-4,5,R16,110,2,1,70,46,39,18,14,0,0,9,0,104,79,48,12,14,10,14,5,5890,10,2565
2020-580,Australian Open,Hard,128,G,20200120,220,106233,5,,Dominic Thiem,R,185,AUT,26.379192334,104745,1,,Rafael Nadal,L,185,ESP,33.6317590691,7-6(3) 7-6(4) 4-6 7-6(6),5,QF,250,14,4,140,83,65,28,23,5,9,11,3,151,105,72,24,23,5,8,5,5890,1,10235
2020-580,Australian Open,Hard,128,G,20200120,224,106233,5,,Dominic Thiem,R,185,AUT,26.379192334,100644,7,,Alexander Zverev,R,198,GER,22.7515400411,3-6 6-4 7-6(3) 7-6(4),5,SF,222,10,4,144,96,74,19,22,9,14,16,3,127,103,70,12,21,5,9,5,5890,7,3345
2020-580,Australian Open,Hard,128,G,20200120,225,104925,2,,Novak Djokovic,R,188,SRB,32.6652977413,103819,3,,Roger Federer,R,185,SUI,38.4503764545,7-6(1) 6-4 6-3,5,SF,138,11,1,102,74,54,15,16,5,7,15,3,104,68,45,15,15,7,11,2,9720,3,6590
2020-580,Australian Open,Hard,128,G,20200120,226,104925,2,,Novak Djokovic,R,188,SRB,32.6652977413,106233,5,,Dominic Thiem,R,185,AUT,26.379192334,6-4 4-6 2-6 6-3 6-4,5,F,239,9,5,134,87,66,24,24,7,12,13,5,170,108,75,28,23,7,12,2,9720,5,5890
2020-560,Us Open,Hard,128,G,20200831,225,106233,2,,Dominic Thiem,R,185,AUT,26.9924709103,106421,3,,Daniil Medvedev,R,198,RUS,24.553045859,6-2 7-6(7) 7-6(5),5,SF,176,2,3,114,67,53,26,17,6,8,12,4,126,74,56,21,17,6,10,3,7135,5,5890
2020-560,Us Open,Hard,128,G,20200831,226,106233,2,,Dominic Thiem,R,185,AUT,26.9924709103,100644,5,,Alexander Zverev,R,198,GER,23.3648186174,2-6 4-6 6-4 6-3 7-6(6),5,F,242,8,8,165,103,70,30,26,10,18,15,15,157,101,71,23,24,6,13,3,7135,7,3630
2020-520,Roland Garros,Clay,128,G,20200928,1601,104925,1,,Novak Djokovic,R,188,SRB,33.3552361396,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.1300479124,6-3 6-2 5-7 4-6 6-1,5,SF,234,5,6,153,102,74,24,23,11,15,7,5,168,113,67,27,23,14,22,1,11260,6,5385
2020-520,Roland Garros,Clay,128,G,20200928,1701,104745,1,,Rafael Nadal,L,185,ESP,34.3216974675,104925,2,,Novak Djokovic,R,188,SRB,33.3552361396,6-0 6-2 7-5,5,F,161,4,1,84,55,37,19,13,4,5,1,4,99,66,33,16,13,11,18,2,9850,1,11260
2020-0352,Paris Masters,Hard,64,M,20201102,300,106421,3,,Daniil Medvedev,R,198,RUS,24.7255304586,100644,4,,Alexander Zverev,R,198,GER,23.537303217,5-7 6-4 6-1,3,F,127,14,2,83,48,38,21,14,6,7,11,3,102,76,51,9,15,6,10,5,5980,7,5015
2020-0352,Paris Masters,Hard,64,M,20201102,299,100644,4,,Alexander Zverev,R,198,GER,23.537303217,104745,1,,Rafael Nadal,L,185,ESP,34.417522245,6-4 7-5,3,SF,99,13,1,60,43,34,9,11,2,3,5,0,68,46,29,12,11,5,8,7,5015,2,9850
2020-0352,Paris Masters,Hard,64,M,20201102,295,106421,3,,Daniil Medvedev,R,198,RUS,24.7255304586,106043,6,,Diego Schwartzman,R,170,ARG,28.2135523614,6-3 6-1,3,QF,62,8,2,37,28,27,5,8,0,0,0,0,52,35,18,8,8,2,6,5,5980,9,3285
2021-0352,Paris Masters,Hard,64,M,20211101,295,100644,4,,Alexander Zverev,R,198,GER,24.5338809035,134770,6,,Casper Ruud,R,183,NOR,22.8610540726,7-5 6-4,3,QF,94,4,0,58,43,37,8,11,3,3,3,0,70,45,31,15,11,8,10,4,7180,8,3670
2021-0352,Paris Masters,Hard,64,M,20211101,298,106421,2,,Daniil Medvedev,R,198,RUS,25.7221081451,100644,4,,Alexander Zverev,R,198,GER,24.5338809035,6-2 6-2,3,SF,80,4,0,51,29,23,14,8,3,3,6,4,57,38,23,6,8,1,5,2,9540,4,7180
