tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-580,Australian Open,Hard,128,G,20200120,220,202458,1,,Ashleigh Barty,R,166,AUS,23.7399041752,201520,7,,Petra Kvitova,L,183,CZE,29.8699520876,7-6(6) 6-2,3,QF,104,5,3,84,53,39,11,10,10,12,2,6,71,40,25,14,10,4,8,1,8017,8,4436
2020-M009,Rome,Clay,64,P,20200914,300,201594,1,,Simona Halep,R,168,ROU,28.9664613279,201662,2,,Karolina Pliskova,R,184,CZE,28.4845995893,6-0 2-1 RET,3,F,32,1,3,23,15,11,3,4,3,4,0,4,30,18,7,2,5,2,7,2,6356,4,5205
2021-902,Miami,Hard,128,P,20210322,300,202458,1,,Ashleigh Barty,R,166,AUS,24.9089664613,215370,8,,Bianca Andreescu,R,170,CAN,20.7638603696,6-3 4-0 RET,3,F,62,4,2,44,27,21,9,7,1,2,2,2,42,31,14,6,6,4,8,1,9186,9,4735
2021-902,Miami,Hard,128,P,20210322,299,202458,1,,Ashleigh Barty,R,166,AUS,24.9089664613,202494,5,,Elina Svitolina,R,174,UKR,26.5242984257,6-3 6-3,3,SF,89,7,1,65,30,20,19,9,5,7,2,1,63,39,19,10,9,9,14,1,9186,5,5370
2021-902,Miami,Hard,128,P,20210322,297,202458,1,,Ashleigh Barty,R,166,AUS,24.9089664613,214544,7,,Aryna Sabalenka,R,182,BLR,22.8802190281,6-4 6-7(5) 6-3,3,QF,136,6,2,105,67,49,26,16,7,7,12,7,100,66,49,14,15,2,4,1,9186,8,4815
2021-902,Miami,Hard,128,P,20210322,290,202494,5,,Elina Svitolina,R,174,UKR,26.5242984257,201520,9,,Petra Kvitova,L,183,CZE,31.0390143737,2-6 7-5 7-5,3,R16,142,4,4,95,43,31,25,16,2,7,4,9,108,71,46,18,16,8,13,5,5370,10,4571
2021-1038,Madrid,Clay,64,P,20210429,300,214544,5,,Aryna Sabalenka,R,182,BLR,22.984257358,202458,1,,Ashleigh Barty,R,166,AUS,25.0130047912,6-0 3-6 6-4,3,F,99,9,3,82,53,37,14,13,5,8,3,2,71,48,30,10,12,3,8,7,5205,1,9655
2021-806,Montreal,Hard,64,P,20210809,300,201662,4,,Karolina Pliskova,R,184,CZE,29.3853524983,214544,1,,Aryna Sabalenka,R,182,BLR,23.2635181383,6-3 6-4,3,SF,81,,,,,,,,,,,,,,,,,,,6,4850,3,6845
2021-1017,Cincinnati,Hard,64,P,20210816,297,202458,1,,Ashleigh Barty,R,166,AUS,25.311430527,206252,9,,Barbora Krejcikova,R,178,CZE,25.6618754278,6-2 6-4,3,QF,71,7,2,48,25,21,13,9,0,1,2,2,53,25,11,19,9,4,8,1,9286,10,4113
2021-1017,Cincinnati,Hard,64,P,20210816,292,206252,9,,Barbora Krejcikova,R,178,CZE,25.6618754278,202469,8,,Garbine Muguruza,R,182,ESP,27.8548939083,6-1 6-7(5) 6-2,3,R16,144,14,6,87,58,50,14,14,5,5,4,3,104,74,45,15,13,11,15,10,4113,9,4165
2021-560,Us Open,Hard,128,G,20210830,218,206252,8,,Barbora Krejcikova,R,178,CZE,25.7002053388,202469,9,,Garbine Muguruza,R,182,ESP,27.8932238193,6-3 7-6(4),3,R16,114,10,6,86,52,38,15,12,5,8,3,3,60,42,25,7,10,5,9,9,4273,10,4210
2021-560,Us Open,Hard,128,G,20210830,223,214544,2,,Aryna Sabalenka,R,182,BLR,23.3210130048,206252,8,,Barbora Krejcikova,R,178,CZE,25.7002053388,6-1 6-4,3,QF,86,6,7,67,38,29,14,9,5,6,4,5,55,21,12,15,8,6,10,2,7010,9,4273
2022-1003,Doha,Hard,64,P,20220221,300,216347,7,,Iga Swiatek,R,176,POL,20.7282683094,206289,6,,Maria Sakkari,R,172,GRE,26.5790554415,6-4 6-3,3,SF,88,0,1,66,50,30,7,10,5,8,2,3,54,33,18,8,9,3,8,8,3936,6,4191
